,architecture,num_epochs,num_processes,threads,is_distributed,training_time,accuracy,avg_loss
0,conv,2,1,16,n,149.20461916923523,89.52,0.35546211761956414
1,ff,2,1,8,n,42.153393268585205,39.69,2.0914498759587605
2,conv,2,2,12,y,95.75509810447693,90.28333333333333,0.3280971799150109
3,conv,2,2,13,y,103.02865839004517,90.88666666666667,0.31039940552711487
4,conv,2,1,13,n,157.88991117477417,90.68333333333334,0.3132607291268806
5,ff,2,1,2,n,20.821182250976562,39.66166666666667,2.066940861606598
6,conv,2,1,3,n,46.74629616737366,90.39666666666666,0.3229562288912634
7,conv,2,1,4,n,54.247281312942505,90.88333333333334,0.31025430855726205
8,conv,2,1,1,n,56.50076913833618,90.26666666666667,0.32932362342278165
9,conv,2,2,11,y,82.7426609992981,91.66833333333334,0.282081193010509
10,ff,2,2,10,y,40.42158603668213,53.873333333333335,1.6627353998184204
11,ff,2,1,11,n,52.579684019088745,42.626666666666665,1.6104914348920187
12,ff,2,2,6,y,23.745299816131592,49.47666666666667,1.80403339565595
13,conv,2,2,8,y,86.65279030799866,90.065,0.333052520164599
14,conv,2,1,15,n,155.1021294593811,89.45666666666666,0.3562037688632806
15,conv,2,2,3,y,26.183857679367065,90.41,0.32014215277532737
16,conv,2,1,4,n,54.697548389434814,90.475,0.3174132105000317
17,ff,2,1,9,n,42.88839149475098,61.54666666666667,1.726883779446284
18,conv,2,2,6,y,54.99031925201416,90.92166666666667,0.30994191466011106
19,ff,2,1,7,n,39.960973262786865,49.666666666666664,1.7952659196376801
20,conv,2,1,5,n,70.49921584129333,90.5,0.3226891902403285
21,ff,2,1,8,n,42.25215268135071,52.776666666666664,1.8790260257403055
22,ff,2,2,8,y,32.839207887649536,33.55,2.2235910007794697
23,conv,2,2,14,y,121.34549760818481,91.40833333333333,0.291127233646065
24,conv,2,2,15,y,131.78227186203003,90.39333333333333,0.3209315487069388
25,conv,2,1,9,n,118.09010076522827,90.33833333333334,0.3233706912942231
26,conv,2,1,10,n,126.21158123016357,90.605,0.3145863183620075
27,conv,2,2,2,y,24.035428047180176,89.74666666666667,0.33645958971505363
28,conv,2,2,4,y,34.49969696998596,91.41333333333333,0.293434674121812
29,conv,2,1,2,n,46.466301918029785,90.49666666666667,0.3179399728598694
