,architecture,num_epochs,num_processes,threads,is_distributed,training_time,accuracy,avg_loss,batch_size
0,conv,2,2,13,y,16.885421991348267,31.803333333333335,2.2656731360753377,128
1,conv,2,4,11,y,25.782216787338257,65.49666666666667,1.975903997898102,64
2,conv,2,4,13,y,14.63774824142456,19.92,2.256004788684845,256
3,conv,2,2,9,y,20.96656608581543,53.2,2.1990926293055217,64
4,conv,2,4,9,y,34.78310751914978,67.60666666666667,2.0288710419336953,32
5,conv,2,4,8,y,25.508841514587402,31.298333333333332,2.2619700477282207,128
6,conv,2,4,11,y,32.383219957351685,78.80166666666666,0.8807328229983648,32
7,conv,2,4,11,y,25.847755193710327,70.68833333333333,1.6673694126605987,64
8,conv,2,4,5,y,10.230625629425049,79.85666666666667,0.8805600302735964,64
9,conv,2,3,13,y,15.019590616226196,55.00833333333333,2.102425553035736,128
10,conv,2,4,16,y,54.142420291900635,73.415,1.4709970863024393,64
11,conv,2,4,13,y,23.433579444885254,55.51,2.0903644424120587,64
12,conv,2,3,3,y,19.690988779067993,89.21333333333334,0.36323018638566135,12
13,conv,2,4,7,y,24.51405620574951,66.52,2.043894126669566,64
14,conv,2,3,11,y,22.867552280426025,53.695,2.159026071580251,64
15,conv,2,2,13,y,12.617277383804321,40.096666666666664,2.2366983140945433,256
16,conv,2,3,11,y,70.80186676979065,90.09,0.3300785977696379,12
17,conv,2,4,10,y,10.769608736038208,14.543333333333333,2.2909777832667033,256
18,conv,2,2,9,y,36.287940979003906,81.98,0.6469619375189145,32
19,conv,2,3,16,y,182.7497479915619,89.77666666666667,0.3343567002321283,12
20,conv,2,3,16,y,92.55480861663818,79.245,0.8586598509947458,32
21,conv,2,3,16,y,92.88262820243835,81.81666666666666,0.7355133549372355,32
22,conv,2,2,3,y,15.957845687866211,42.15833333333333,2.2492007552782693,128
23,conv,2,3,3,y,10.96213984489441,14.813333333333333,2.290521155579885,256
24,conv,2,3,6,y,63.950860261917114,90.11333333333333,0.3257660112152497,12
25,conv,2,2,6,y,20.475589275360107,82.26166666666667,0.661847202984492,32
26,conv,2,3,15,y,13.721670150756836,19.24,2.2767190243721007,256
27,conv,2,4,8,y,26.12187123298645,33.943333333333335,2.2442304948806764,128
28,conv,2,3,4,y,11.089677810668945,62.255,2.0382124287287393,64
29,conv,2,2,6,y,15.56924843788147,72.75833333333334,1.6170263980865478,64
30,conv,2,2,7,y,16.20374822616577,70.98833333333333,1.5459100651582083,64
31,conv,2,2,5,y,18.681005001068115,81.63,0.7257595098177592,32
32,conv,2,3,16,y,24.565815210342407,16.72833333333333,2.2968424046198526,256
33,conv,2,2,15,y,51.891263484954834,86.36833333333334,0.49336068570117153,32
34,conv,2,3,5,y,15.393572807312012,86.225,0.5124580229471127,32
35,conv,2,3,3,y,11.61133861541748,64.805,1.9872707057317098,64
36,conv,2,2,3,y,15.771311521530151,37.03333333333333,2.2538112727801005,128
37,conv,2,4,2,y,9.74975061416626,31.366666666666667,2.2614582532246907,128
38,conv,2,4,4,y,8.664064407348633,58.18666666666667,2.088385269737244,128
39,conv,2,2,4,y,13.979199171066284,24.67,2.2693746184031167,128
40,conv,2,2,14,y,13.858523845672607,31.373333333333335,2.259361125087738,256
